date_time,Latitude,Longitude,Altitude,Course/Heading,Speed,Surface Temperature,Dew Point,Water Film,Ice Percentage,Friction,Road Condition,
2017/01/24 16:35:20,39.449869000,-92.409752000,262.29,11.34,-1.00,62.94,37.93,0.00,0.00,0.82,0.00,
2017/01/24 16:35:30,39.449869000,-92.409752000,262.29,11.34,-1.00,63.35,37.96,0.00,0.00,0.82,0.00,
2017/01/24 16:35:40,39.449770000,-92.409638000,262.20,11.34,-1.00,63.14,37.98,0.00,0.00,0.82,0.00,
2017/01/24 16:35:50,39.449770000,-92.409639000,262.20,10.33,-1.00,63.21,38.00,0.00,0.00,0.82,0.00,
2017/01/24 16:36:00,39.449770000,-92.409639000,262.20,10.33,-1.00,63.14,37.93,0.00,0.00,0.82,0.00,
2017/01/24 16:36:10,39.449770000,-92.409639000,262.20,11.34,-1.00,63.12,37.95,0.00,0.00,0.82,0.00,
2017/01/24 16:36:20,39.449770000,-92.409639000,262.20,11.34,-1.00,63.16,37.97,0.00,0.00,0.82,0.00,
2017/01/24 16:36:30,39.449770000,-92.409639000,262.20,10.34,-1.00,63.01,37.97,0.00,0.00,0.82,0.00,
2017/01/24 16:36:40,39.449821000,-92.409707000,262.21,10.34,-1.00,63.33,38.00,0.00,0.00,0.82,0.00,
2017/01/24 16:36:50,39.449822000,-92.409707000,262.21,10.34,-1.00,63.14,37.98,0.00,0.00,0.82,0.00,
2017/01/24 16:37:00,39.449822000,-92.409707000,262.21,10.34,-1.00,63.54,38.00,0.00,0.00,0.82,0.00,
2017/01/24 16:37:37,39.449841000,-92.409731000,262.22,10.36,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:37:46,39.449843000,-92.409731000,262.22,11.36,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:38:37,39.449830000,-92.409712000,262.19,10.35,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:38:46,39.449831000,-92.409712000,262.19,12.37,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:39:15,39.449853000,-92.409745000,262.48,12.37,0.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:39:49,39.449853000,-92.409745000,263.37,10.37,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
